,comments,sentiment
1123,Dama hisebe aneka bhala.,Positive
1124,Oyarenti karda payani.,Negative
1125,Ta'i ami santusta byabahara kare.,Positive
1126,Tarapara'o bhalo.,Positive
1127," phittiN bhaal hyyeche, ",Positive
1128,Chabira gharira sathe amara kache darajera pathano gharira mila ne'i,Negative
1129,Amara khuba bhalo legeche.,Positive
1130,Ekadama manera mato jinisa peyechi,Positive
1131,Prodakta era koyaliti bhala,Positive
1132,Darajera chabira sathe delibhari kara prodaktera mila na'i.,Negative
1133,Pra'isa hisebe bhalo,Positive
1134,Chabira kalara era sathe mila ne'i.,Negative
1135,"Skryaca pareche, plastikera hatala kabhara phete geche",Negative
1136,Sabaceye duhkhajanaka halo ye prodakta ardara karachi seta pa'ini.,Negative
1137,Ekati parasa pathano hayani.,Negative
1138,Bhala'i mane hacche.,Positive
1139,Selara kichu dhomkabajira asraya niyeche,Negative
1140,Kapara ebam printa koyaliti bhalo,Positive
1141,Ardara pelama na ekhano:(,Positive
1142,Daraja theke kine khuba hyapi.,Positive
1143,Ekebare baje chila,Negative
1144,Ki ajaba!!,Negative
1145,Daraja ija besta,Positive
1146,Natuna batapari dhanda bera kareche.,Negative
1147,Bha'ucara era jan'ya sera daraja..,Positive
1148,A'i labha daraja..,Positive
1149,Daraja era prodakta koyaliti khuba bhalo koyaliti.,Positive
1150,Daraja era riphanda palisi khuba bhalo..,Positive
1151,Eka ti sartera katha bale arekata delibhari diche.,Negative
1152,Daraja bhuya pheka,Negative
1153,Ami pratarita halama,Negative
1154,Eta abhiyoga!!!,Negative
1155,Daraja tumi asale'i bhalo,Positive
1156,daaraajer ceyye jghnytm kon saarbhis aami aamaar jiibne dekhi naai / ,Negative
1157,Eka kathaya jaghan'yatama.,Negative
1158,Daraja bataparadera theke ke'u kinabena na plija.,Negative
1159,Batapari dekhaya ekata dila arekata,Negative
1160,Ora citara ,Negative
1161,Daraja bhuya,Negative
1162,Daraja 11.11 Era name dhandabaji karache.,Negative
1163,Saba du'i nambari 100 takara jinisa 500 taka,Negative
1164,La'ibhe saba'i riporta maro daraja batapara,Negative
1165,Batapara daraja,Negative
1166,Rijekta prodakta delibhari deya,Negative
1167,Phalatu daraja,Negative
1168,Ha'isyakara egula ha'isyakara,Negative
1169,Aneka sundara,Positive
1170,Cora batapara,Negative
1171,Batapara kompani..,Negative
1172,Rabisa kompani,Negative
1173,Prataranara an'ya nama daraja,Negative
1174,Ke'u daraja phamde pa dibena na,Negative
1175,Camatkara panya.,Positive
1176,Saba'i tomara upare naraja ,Negative
1177,Bha'ire e dhandabaji byabasa bada da'o,Negative
1178,Pura'i phalatu!!!,Negative
1179,Bhuya kompani,Negative
1180,Citarira ekata sima thake,Negative
1181,Mamala habe sudhu mamala,Negative
1182,daaraaje sb kichur daam anek anek beshi,Negative
1183,ytsb baattpaari,Negative
1184,Daraja dhbansa kare dila i-kamarsa byabasa,Negative
1185,daaraajer sb dik bhaal,Positive
1186,"Daraja theke prathama kichu kinalama, amejim....",Positive
1187,Pan'ya ardara delibhari khuba bhala,Positive
1188,Daraja ala dya besta,Positive
1189,egiyye yaak daaraaj,Positive
1190,Daraja besta marketa plyatapharma apha banladesa,Positive
1191,"Amara hatasa,",Negative
1192,Accha tadera nama daraja na haye dhandabaja halo na kena,Negative
1193,Ora prataraka.,Negative
1194,Phalatu aphara,Negative
1195,Daraja ke barjana karuna saba'i.,Negative
1196,Bhuya katha barta,Negative
1197,Saba bhandami,Negative
1198,11 Takaya prodakta ta bhuya,Negative
1199,Darajera mata anala'ina sapa amara ca'i na banladese,Negative
1200,Bhanda daraja,Negative
1201, dhnybaad dite baadhy hlaam ,Positive
1202,Khabaradara hasabena na,Negative
1203,Darajera eta ki rakama dhandabaji!,Negative
1204,Dresata kintu sundara,Positive
1205,sbceyye  khaaraap anlaain,Negative
1206,Ekhana daraje sipim (delibhari) carja besi.,Negative
1207,Echara'o panya manera khuba kharapa.,Negative
1208,Eta kebala jaliyati,Negative
1209,Eta kine khusi...,Positive
1210,"Mulyera jan'ya, eta thika ache.",Positive
1211,Druta delibhari,Positive
1212,Eta bhalo chila,Positive
1213,Bhala panya... .,Positive
1214,Bikreta amake ksatigrasta panya pathana.,Negative
1215,Hyam khusi bhala abastha,Positive
1216,Jala panya.,Negative
1217,Camatkara kaja kare.,Positive
1218,Eta khuba'i sundara. Asadharana sabda.,Negative
1219,ettaa aamaader jny bhaal naa,Negative
1220,Khusi besi ,Positive
1221,Eti satyi'i ekati khuba bhala hedaseta.,Positive
1222,Bhala manera sabda,Positive
1223,Sabda  khuba kharapa manera,Negative
1224,smpuurnnruupe sntusstt,Positive
1225,Ami satyi'i hatasa,Negative
1226,Sudhu santrasta manera iyaraphona,Positive
1227,Sabda manera khuba anan'ya.,Positive
1228,Panya era mana bhala na,Negative
1229,Druta delibharira jan'ya apanake dhan'yabada.,Positive
1230,Sa'unda era mana bhala.,Positive
1231,"Eti ekati camatkara panya,",Positive
1232,Hyam ami eta pachanda kari.,Positive
1233,Panya bhala abasthaya prapta hayechila.,Positive
1234,Jenu'ina panya jan'ya apanake dhan'yabada.,Positive
1235,Santusta na.,Negative
1236,Satyi'i bhala sabda,Positive
1237,Eti ekati bhala manera panya tabe druta delibharira prayojana.,Positive
1238, khubi htaashaajnk,Negative
1239,Bhala cehara ebam sabda era mana bhala.,Positive
1240,Samagrika eta thika ache....,Positive
1241,Kharapa gunamana,Negative
1242,E'i panya samparke kona samasya ne'i.,Positive
1243,Camatkara hedaphona,Positive
1244,Bhalo seba,Positive
1245,Eti ekati camatkara manera hedaphona.,Positive
1246,Sabda era mana khuba daridra.,Negative
1247,Panya ebam sabda era mana khuba kharapa.,Negative
1248,Panya manera bhala chila.,Negative
1249,Eti ekati ascaryajanaka hedaphona chila.,Positive
1250,Byasa  era mana khuba kharapa.,Negative
1251,Bhala kaja kare.,Positive
1252,aami aapnaar kaach theke nisskriy' pnny pey'echi yaa khub aprtyaashit,Negative
1253,Sabda era mana bhala na,Negative
1254,tteksi heddphon / ,Positive
1255,Sabaceye kharapa sabda era mana!,Negative
1256,Khuba spasta sabda,Positive
1257,Hedaphona samparke khusi.,Positive
1258,Sa'unda era gunamana bhala.,Positive
1259,Sa'unda koyaliti bhala naya..,Negative
1260,Camatkara sabda era mana,Positive
1261,Mithyabadi bikreta,Positive
1262,Aneka upabhoga karachi.,Positive
1263,E'i hedaphonatira gunati satyi'i bhala.,Positive
1264,"Bhala ebam mula panya,",Positive
1265,aamaake blechil ettaa aasl kintu aamaake ektti kpi pnny diy'eche /  ,Negative
1266,Sabda era mana bhala,Positive
1267,Khuba dirgha tekasa'i iyaraphona.,Positive
1268,Camatkara panya.,Positive
1269,Sera ekati..,Positive
1270,Sera hedaphona,Positive
1271,Tara sabda era mana bhala.,Positive
1272,Sabda era mana e'i mulyera jan'ya yathesta bhala.,Positive
1273,ei muuly py'entt theke shresstth / ,Positive
1274,Sabakichu bhalo chila,Positive
1275,smpuurnnruupe sntusstt ....,Positive
1276,Khuba bhala panya ebam bhala seba,Positive
1277,Amara jan'ya bhala abhijnata chila,Positive
1278,Sabakichu thika ache,Positive
1279,khub sundr knphigaareshn,Positive
1280,Ekhana paryanta kona samasya ne'i.,Positive
1281,Panyati trutipurna,Negative
1282,E'i bajete sera phona.,Positive
1283,Khuba bhala phona.,Positive
1284,Sasta dame bhalo moba'ila,Positive
1285,Sasta dama sange camatkara panya.,Positive
1286,Apanara taka nasta karabena na,Negative
1287,Panya era mana bhala chila.,Positive
1288,"Ojane halaka, sarbopari bhala",Positive
1289,pnny er maan ucctr,Positive
1290,"Sabaceye kharapa phona,",Negative
1291,"Dekhate yathesta sundara,",Positive
1292,Ami mane kari ami amara taka apacaya,Negative
1293,etti ektti aashcryjnk pnny .,Positive
1294,aami ettaa bhaalobaasi!,Positive
1295,Nimna manera panya.,Negative
1296,Eti satyi'i khuba asbabhabika.,Negative
1297,Amake hatasa kareni,Positive
1298,Ami bhala dama madhye asala panya peyechilama.,Positive
1299,Eta satya'i khuba bhalo!!!,Positive
1300,Khuba bhala..,Positive
1301,Ami panya samparke khuba hatasa.,Negative
1302,Sabda guna khuba kharapa,Negative
1303,E'i bajete bhalo.,Positive
1304,Sandeha chara'i sera blututha portebala spikara,Positive
1305,Eti apanara kacha theke sampurnarupe agrahanayogya.,Negative
1306,Hatasa ebam ghrnya.,Negative
1307,sbkichu tthik aache,Positive
1308,Bhayanaka manera.,Negative
1309,E'i mulya parisare ekati bhala manera spikara.,Positive
1310,Bhala manera ebam druta delibhari.,Positive
1311,E'i panya besa bhala,Positive
1312,cm[?]kaar pnny / ,Positive
1313,Bhuya citkara sunate besi samaya lagabe,Negative
1314,Jenu'ina panya pete sera jayaga.,Positive
1315,Pickaboo khamti,Positive
1316,Camatkara seba,Positive
1317,shudhu ettaa premmy' / ,Positive
1318,Ekati santrasta 7mp samane kyamera,Positive
1319,"Elita, sta'ilisa,",Positive
1320,Suraksita ebam camatkara!,Positive
1321,etti ektti bhaal phon / ,Positive
1322,Ami santusta ebam khuba druta delibhari.,Positive
1323,aami Pickaboo sebaa ebN pnnyer jny sntusstt / ,Positive
1324,paarphrmens besh bhaal,Positive
1325,"rng, gti, kyaameraa sbkichu sntrst / ",Positive
1326,grett ddijaain / ,Positive
1327,kon  smsyaa nei / ,Positive
1328,Ami eta khuba bhalo bhabe byabahara kare.,Positive
1329,seraa sel phon,Positive
1330,Khuba bhala seba,Positive
1331,ei phon bytikrmii krmkssmtaa kssmtaa aache / ,Positive
1332,"srbottm muuly, ",Positive
1333,aami ei phon pchnd krtechi /  ,Positive
1334,prtidin bybhaarer jny saamgrikbhaabe bhaal phon / ,Positive
1335,"Bhalo manera, bhala kyamera,",Positive
1336,cm[?]kaar krmkssmtaa /  ,Positive
1337,sbkichu phaain ,Positive
1338,Dama khuba besi kanaphigaresanera tulanaya,Negative
1339,atynt baanychniiy'. saamgrikbhaabe etti ektti daarun  phon / ,Positive
1340,aami taar krmkssmtaa sngge sntusstt / ,Positive
1341,Daksa byatari byaka'apa,Positive
1342,"phon dhiir, kyaameraa cihnit kraa hy' naa",Negative
1343,Ami eta pachanda kari na.,Negative
1344,Kanaphigaresana anuyayi damata ekatu besi.,Negative
1345,bhy'es  aashcryjnk o  spsstt,Positive
1346,nkiy'aa srbdaa bhaal maaner phon tairi krche,Positive
1347,etti dainndin bybhaarer jny ektti bhaal phon,Positive
1348,kyaameraa  sntossjnk  maaner ny',Negative
1349,bhaal pnny ebN drut ddelibhaari / ,Positive
1350,khub tteksi ,Positive
1351,byaattaari byaakaapo  aashcryjnk / ,Positive
1352,Eta diye khusi.,Positive
1353,"nokiy'aa nokiy'aa, shiirss brg bildd maaner / ",Positive
1354,etti ekhn baajaare paaoy'aa seraa baajett phon / ,Positive
1355,GR5 ebN pickaboo ubhy' cm[?]kaar / ,Positive
1356, cm[?]kaar krmkssmtaa,Positive
1357,asaamaany kyaameraa ,Positive
1358,"phon khub bhaal maaner, ebN msRnn  /  ",Positive
1359,yuktisnggt muuly ,Positive
1360,ettaar  asaadhaarnn dRssttibhnggi,Positive
1361,aapnaader saaphly kaamnaa krchi,Positive
1362,bhaal kyaameraa ebN ektti bishaal byaattaari !!,Positive
1363,ei phon khub bismy'kr sebaa deyy /  ,Positive
1364,etti ektti khub sundr phon chil / ,Positive
1365,"msRnn gemiN, ",Positive
1366,etti seraa smaarttphoner ektti ...,Positive
1367,aprtirodhy yaa sbcey'e bhaal prstaab,Positive
1368,"etti ektti lghu phon, khub dhiire cle /  ",Negative
1369,bhaarii gem msRnnbhaabe cle naa /  ,Negative
1370,aami dbidhaa chaadd'aai ei phon kinte supaarish krte caai,Positive
1371,gemiN khub msRnn,Positive
1372,"hebhi gemiN er jny bestt, kyaameraao anek bhaalo",Positive
1373,ekhn shhrer  seraa phon / ,Positive
1374,aami taar krmkssmtaa ebN maaner dbaaraa bismit chilaam / ,Positive
1375,taader cm[?]kaar o skriy' sebaar  jny Pickaboo sngge khub sntusstt,Positive
1376,ktthin bildd maaner sngge cm[?]kaar ttyaablett / ,Positive
1377,saaundd koy'aalitti bhaal!,Positive
1378,anek bhaal krmkssmtaa,Positive
1379,ei pnny niyye khub khub sntusstt,Positive
1380,gunnmaan bhaal ebN puropuri upyukt / ,Positive
1381, aami asntusstt,Negative
1382,"bhaal naa, ttaakaa smpuurnn apcyy  /  ",Negative
1383,pnny khub tteksi / ,Positive
1384, bhaal naa /   ,Negative
1385,ei pnny khub nimn  maaner chil / ,Negative
1386,smpuurnnruupe arth apcy' / ,Negative
1387,phinisiN  abishbaasy / ,Positive
1388,ei jinis aapnaar maail byaandd 3 glaas upyukt hbe naa / ,Negative
1389,  ei pnny bhaal naa / ,Negative
1390,Anker srbdaa ektti grett  bryaandd /  ,Positive
1391,ettaa khub sundr dekhaacche ebN ,Positive
1392,caarjaar styii cm[?]kaar ebN bhaal / ,Positive
1393,aami ei caarjaartti kry' kre motteo sntusstt ni / ,Negative
1394,cm[?]kaar pyaakejiN / ,Positive
1395,ektti yuktisnggt muulye ei muul caarjaar aphaar jny dhnybaad pickaboo / ,Positive
1396,sbaabhaabik hisaabe htaash naa,Positive
1397,aamaar prtyaashaar theke beshii /  ,Positive
1398,ei paaoy'aar byaaNk bryaandd baajaare any kono paaoy'aar byaaNker tulnaay' bhaal,Positive
1399,bhaal pnny. primiy'aam maaner /  ,Positive
1400,mithyaa tthy prdaan kre pnny bikri kreche / ,Negative
1401,drut ebN niraapd,Positive
1402,aakaarer tulnaay' paaoy'aar byaaNk krmkssmtaa besh bhaal,Positive
1403, bhaalo pnny.,Positive
1404,yuktisnggt muuly sngge ektti cm[?]kaar ,Positive
1405,"bybhaar kraa shj, ",Positive
1406,ektti grett  sebaa sngge khub tteksi ebN aadd'mbrpuurnn nkshaa / ,Positive
1407,ddijaain khub paatlaa ebN aadd'mbrpuurnn / ,Positive
1408,aami kkhno dekhaa baajett mdhye seraa paaoyyaar  byaaNk,Positive
1409,ei paaoyyaar byaaNk abishbaasybhaabe nirbhryogy ,Positive
1410,pickaboo mdhye pnny maaner smprke kon sndeh nei,Positive
1411,styii pnny ebN chaadd' daam sngge khushi / ,Positive
1412,aamaader bishess subidhaa sngge bytikrmii pnny debaar jny pickaboo dhnybaad,Positive
1413, aapni ettaa anushocnaa krbe naa / ,Positive
1414,pikaabu baaNlaadesher sbcey'e bhaal anlaain dokaan mne hy' / ,Positive
1415,"shiirss maaner, bishbaasyogy saaitt Pickaboo",Positive
1416,kon trutti khuNje paaoy'aa yaay' ni / ,Positive
1417,Pickaboo upr bishbaas raakhun ,Positive
1418,krmkssmtaa khub bhaal,Positive
1419,ei pnny bhaal /  ,Positive
1420,aami styii ettaa pchnd kri!!!,Positive
1421, ettaa htaashaa jnk,Negative
1422,bryaandd ntun /  ,Positive
1423, bhaal muulye bhaal pnny paaoyyaa yaayy / ,Positive
1424,maan ebN cehaaraa aakrssnniiy' / ,Positive
1425,yemn ektti sudRshy pnny /  :-) ,Positive
1426,bhaal aakaar ebN aakaar /  ,Positive
1427,aamaake jenuin aaittem srbraah kraar jny Pickaboo dhnybaad / ,Positive
1428,byaattaarir  jny ksstikr ny' / ,Positive
1429,emaai paaoy'aar byaaNk seraa,Positive
1430,Pickaboo theke styii bhaal sebaa  paaoyyaa yaayy / ,Positive
1431,aami khub sntusstt ebN prbrtii smy'e aaro jinis arddaar krb / ,Positive
1432,aksst ebN smpuurnnruupe sntusstt / ,Positive
1433,km khrce. bhaal pnny,Positive
1434,ettaa khub drkaarii /  ,Positive
1435,jos jinish  /  ,Positive
1436,bhaal maaner /  aami sntusstt.,Positive
1437, ettaa khubi smsyaakr / ,Negative
1438,brnnnaa hisaabe pnny tthik aache /  ,Positive
1439,"cm[?]kaar pnny maaner, bhaal sebaa",Positive
1440,ettaa aamaader jny bhaal naa taai ei dokaan kinte naa,Negative
1441,khushi beshii ,Positive
1442,etti styii ektti khub bhaal heddsett / ,Positive
1443, bhaal maaner shbd ,Positive
1444,shbd maaner khub khaaraap,Negative
1445,smpuurnnruupe sntusstt,Positive
1446, aami styii htaash,Negative
1447, shbd maaner khub anny / ,Positive
1448,shudhu sntrst maaner iy'aarphon,Positive
1449,drut ddelibhaarir jny aapnaake dhnybaad / ,Positive
1450,pnny er maan bhaal naa,Negative
1451,saaundd er maan bhaal / ,Positive
1452,"etti ektti cm[?]kaar pnny,",Positive
1453,hyaaN aami ettaa pchnd kri.,Positive
1454,pnny bhaal absthaay' praapt hy'echil /  ,Positive
1455,jenuin pnny jny aapnaake dhnybaad / ,Positive
1456,sntusstt naa / ,Negative
1457,styii bhaal shbd,Positive
1458,etti ektti bhaal maaner pnny tbe drut ddelibhaarir pry'ojn / ,Positive
1459,khubi htaashaajnk,Negative
1460,ei pnny smprke kon smsyaa nei / ,Positive
1461,bhaal cehaaraa ebN shbd er maan bhaal / ,Positive
1462,saamgrik ettaa tthik aache ....,Positive
1463,khaaraap gunmaann,Negative
1464,cm[?]kaar heddphon,Positive
1465,bhaalo sebaa,Positive
1466,etti ektti cm[?]kaar maaner heddphon /  ,Positive
1467,shbd er maan khub dridr / ,Negative
1468,pnny ebN shbd er maan khub khaaraap / ,Negative
1469,pnny maaner bhaal chil /  ,Negative
1470,etti ektti aashcryjnk heddphon chil / ,Positive
1471,bhaal kaaj kre.,Positive
1472,aami aapnaar kaach theke nisskriy' pnny pey'echi yaa khub aprtyaashit,Negative
1473,shbd er maan bhaal naa,Negative
1474,sbcey'e khaaraap shbd er maan!,Negative
1475,heddphon smprke khushi / ,Positive
1476,saaundd koy'aalitti bhaal ny',Negative
1477,khub spsstt shbd ebN tteksi heddphon / ,Positive
1478,ei heddphonttir gunntti styii bhaal /  ,Positive
1479,"bhaal ebN muul pnny,",Positive
1480,mithyaabaadii bikretaa,Negative
1481, khub diirgh tteksi iy'aarphon / ,Positive
1482,shbd er maan bhaal chil / ,Positive
1483,cm[?]kaar pnny / ,Positive
1484,seraa ektti ..,Positive
1485,seraa heddphon,Positive
1486,taar shbd er maan bhaal / ,Positive
1487,shbd er maan ei muulyer jny ythesstt bhaal / ,Positive
1488,ei muuly py'entt theke shresstth / ,Positive
1489,sbkichu bhaal chil,Positive
1490,smpuurnnruupe sntusstt ....,Positive
1491,khub bhaal pnny ebN bhaal sebaa,Positive
1492, ettaa aamaar jny bhaal abhijnytaa chil,Positive
1493,sbkichu tthik aache,Positive
1494,khub sundr knphigaareshn,Positive
1495,ekhn prynt kon smsyaa nei / ,Positive
1496,pnnytti truttipuurnn  ,Negative
1497,ei baajette seraa phon / ,Positive
1498,khub bhaal phon / ,Positive
1499,sstaa daame bhaal mobaail,Positive
1500,sstaa daam sngge cm[?]kaar pnny / ,Positive
1501,pnny er maan bhaal chil / ,Positive
1502,pnny er maan ucctr,Positive
1503,aapnaar ttaakaa nsstt krben naa ,Negative
1504,"dekhte ythesstt sundr, ",Positive
1505,etti ektti aashcryjnk pnny .,Positive
1506,nimn maaner pnny / ,Negative
1507,etti styii khub asbaabhaabik /  ,Negative
1508,aami bhaal daam mdhye aasl pnny pey'echilaam / ,Positive
1509,aami ettaa bhaalobaasi!,Positive
1510,aamaake htaash kreni,Positive
1511,aami pnny smprke khub htaash /  ,Negative
1512, aami mne kri aami aamaar ttaakaa apcy',Negative
1513,ei baajette bhaal / ,Positive
1514,sndeh chaadd'aai seraa bluttuth porttebl spikaar,Positive
1515,etti aapnaar kaach theke smpuurnnruupe agrhnnyogy / ,Negative
1516,htaash ebN ghRnny / ,Negative
1517,sbkichu tthik aache,Positive
1518,bhy'aank maaner / ,Negative
1519,ei muuly prisre ektti bhaal maaner spikaar / ,Positive
1520,bhaal maaner ebN drut ddelibhaari / ,Positive
1521,ei pnny besh bhaal,Positive
1522,cm[?]kaar pnny / ,Positive
1523,ei pnnyer gunnmaan khub bhaal / ,Positive
1524,iy'aarphon cm[?]kaar / ,Positive
1525,saaundd supaar ,Positive
1526,khaaraap maaner sNyog ,Negative
1527,ettaa khub birktikr hte paare,Negative
1528,ei muuly prisiimaayy sntusstt naa,Negative
1529,aami ettaa bybhaar kre khub khushi /  ,Positive
1530,atynt baaje maaner shbd /  ,Negative
1531,"atirikt daam, ttaakaar muuly nsstt ",Negative
1532,aamaar bybhRt seraa heddphon / ,Positive
1533,jebiel ektti bishb bikhyaat bryaandd / ,Positive
1534," khub bhaal, ucc ebN prisskaar shbd / ",Positive
1535,pridhaane aaraamdaay'k ebN  ttaanel chaarraa!!,Positive
1536,saamgrikbhaabe sntossjnk ny',Negative
1537,bitt ebN shbd bhlium bhaal naa / ,Negative
1538,Pickaboo theke camatkara seba.,Positive
1539,"abishbaasy khaad, cm[?]kaar sbcchtaa / ",Positive
1540,shudhu  oyyaao /  ,Positive
1541,bhaal maaner nice,Negative
1542,heddphoner gunnmaan ei muuly prisre bhaal ny' / ,Negative
1543,pnny baastb chil / ,Positive
1544,pnny aasl chil / ,Positive
1545,pnny nkl chil / ,Negative
1546,pnny caainij  chil / ,Negative
1547,pnny caainiij   chil / ,Negative
1548,pnny kpi  chil /  ,Negative
1549,ddijaain khub aadd'mbrpuurnn ebN ntun kichu chil /  ,Positive
1550,Eta khuba susama ebam aramadayaka.,Positive
1551,"Sabda bhala, saba nikhumta chila.",Positive
1552," khub shiitl pyaakejiN, khub sthitishiil sNyog",Positive
1553,Bhayanaka sabdera  gunamana,Negative
1554,E'i bajete prathama srenira panya,Positive
1555,ei baajette ektti cmtkaar iy'aarphon / ,Positive
1556,aamaar sbpner  heddphon peyyechi /  ,Positive
1557,"Ucca manera hedaphona,",Positive
1558,Sabaceye sasrayi mulyera blututha.,Positive
1559,pcaa  caarjiN krmkssmtaa / ,Negative
1560,Durbala sbacchata. Kane mapasa'i kara yabe na.,Negative
1561,Spesiphikesana sange mele na,Negative
1562,Ami karmaksamata samparke santusta.,Positive
1563,styii angkit o impresdd ,Positive
1564,Ami sudhu mugdha.,Positive
1565,Pikabu tadera manera pariseba ebam druta delibharira jan'ya  priya anala'ina khetaba  peyeche.,Positive
1566,etti ektti jnpriyy pnny ,Positive
1567,Pratisthapana gyaranti ache.,Positive
1568,Riplesamenta  gyaranti ache.,Positive
1569,Riplesamenta  gyaranti na'i.,Negative
1570,Camatkara  manera sabda.,Positive
1571,gudd ddelibhaari bishbst saaitt,Positive
1572,km baajett bhaal  maaner pnny / ,Positive
1573,km daame seraa,Positive
1574,Bhala mulya bhala manera,Positive
1575,"khub sundr heddphon, ",Positive
1576,abhuutpuurb pnny,Positive
1577,Matha nasta jinisa,Positive
1578,Khuba aramadayaka.,Positive
1579,ddephinittli rekmenddedd,Positive
1580,smsyaahiin asaadhaarnn heddphon,Positive
1581,khub bhaal,Positive
1582,Anispanna panya,Positive
1583,etti ektti styii cm[?]kaar pnny / ,Positive
1584,E'i mulyera madhye sera,Positive
1585,Apani yadi aro byaya karate na cana tahale kine phelena.,Positive
1586,paaNkhaa ekttaa heddphon ,Positive
1587,yuktisNgt mulye  bhaal shbd / ,Positive
1588,Nihsandehe dama parisima madhye sera iyaraphona,Positive
1589,nishcitbhaabe ei mulye seraa / ,Positive
1590,ettaa ekttaa  kul proddaaktt ,Positive
1591,Bhogasa jinisa,Negative
1592,Eta ekadama rabisa,Negative
1593,Sasta dame satyi'i bhala iyaraphona,Positive
1594,Hedaphona khuba bhala.,Positive
1595,ettaa atynt cittaakrssk / ,Positive
1596,khub lobhniiyy daame bhaal proddaaktt ,Positive
1597,Nimna bajetera madhye sthayi hedaphona,Positive
1598,Pickaboo sipim sistema khuba byabaharakari bandhutbapurna ebam nirbharayogya.,Positive
1599,sundr pyaakejiN /  ,Positive
1600,yaaraa sstaa daame  bhaal jinis caay' taader jny ektti khub bhaal pnny,Positive
1601,Seba druta,Positive
1602,"Sa'unda koyaliti bhala,",Positive
1603,Ekati khuba sasrayi mulyera mulya sange greta hedaphona.,Positive
1604,asaadhaarnn shbd,Positive
1605,"Yuktisangata mulya,  dhan'yabada.",Positive
1606,"Asaman'ya bita, daruna sa'unda",Positive
1607,"Camatkara dija'ina,",Positive
1608,Obharala bhalo dila.,Positive
1609,Mane haya asala.,Positive
1610,Ara pikabura sarbhisa sistema bhala legeche.,Positive
1611,E'i dame e'i iyaraphona sarbottama.,Positive
1612,Eta asadharana....,Positive
1613,"Tara chaya masera jan'ya oyyarenti pradana kare,",Positive
1614,"Chabite ye rakama dekhaya, erakama i prodakta.",Positive
1615,Sa'unda koyaliti dama anuyayi yathesta bhalo.,Positive
1616,Bilda koyaliti bhalo.,Positive
1617,Sera cukti ebam asadharana sabda,Positive
1618,Catacate nakasa ebam asadharana sabda,Positive
1619,Erakama dakati pikabura kache asa kari na'i,Negative
1620,prisskaar ebN khub jore / ,Positive
1621,Jebi'ela ekati mastarapisa.,Positive
1622,Epika sabda,Negative
1623,bismy'kr koyyaalitti,Positive
1624,"Sabda gabhira, pariskara",Positive
1625,Anan'ya nakasa,Positive
1626,Eta sudhu bismayakara,Positive
1627,Sabda ebam nakasa kalpita,Positive
1628,"Tara sampurnarupe jalarodhi, nikhumta panya.",Positive
1629,Chota kintu pratiti takara mulya uthe geche,Positive
1630,Supara druta seba. Dhan'yabada,Positive
1631,Mastara klasa panya,Positive
1632,Ascaryajanaka alo o sundara nakasa,Positive
1633,Atyanta anan'ya spikara.,Positive
1634,Panya supara portebala ebam nakasa bhala,Positive
1635,"Atyanta saktisali  manera nirmana, puro sarira dhatura.",Positive
1636,Smarta ebam salina sabda,Positive
1637,Mulya anuyayi eti ekati bhala panya.,Positive
1638,"Ekati sabda manera tulanaya, spikara hisebe ekata bhalo naya.",Negative
1639,Sasrayi mulyera ebam byabahara kara sahaja,Positive
1640,kebl srbottm,Positive
1641,"Bhala, apani amake bisbasa kare  kinate parena",Positive
1642,Ami e'i panya kenara suparisa kari!!!,Positive
1643,Bajarera sera smarta'oyaca,Positive
1644,Smarta'oyaca amara dekha sera krira ghari.,Positive
1645,Bhula  hartabita ganana,Negative
1646,Bethika  padabin'yasa,Negative
1647,"Eti primiyama, yadi'o eti dama ekatu besi.",Positive
1648,Diphaltarupe banla phanta samarthana/ pradarsana na.,Negative
1649,aami aagrhiibhaabe ei jny apekssaa krchi / ,Positive
1650,Byatari byaka'apa yaccheta'i,Negative
1651,Gharita aneka sundara ara upakari.,Positive
1652,phittnes oyyaac hisaabe aattaai srbottm / ,Positive
1653,Ami eti khuba'i upabhoga karachi.,Positive
1654,"Sathika padabin'yasa,",Positive
1655,Byatari byaka'apa yaccheta'i,Negative
1656,Bhala dija'ina an'yan'ya byandera tulanaya.,Positive
1657,Khuba khuba nimna  manera,Negative
1658,Amzfit biaaipi sngge maapsi krben naa / ,Negative
1659,E'i kinabena na,Negative
1660,E'i belta sampurna artha apacaya.,Negative
1661,pnny  styii bhaal maaner / ,Positive
1662,Kona bibarnata ba budabuda paryabeksita hayani,Positive
1663,Mana hisebe khuba kharapa,Negative
1664,Eta samparke  khusi na.,Negative
1665,Tara sarbottama seba dicche,Positive
1666,Thyanka yyu pikabu.,Positive
1667,Tara bhala sarabarahakarira kacha theke e'i dharanera panya grahana karechila yake apani satyi'i bisbasa karate parena!,Positive
1668,Panya bhala ebam ami atyanta santusta.,Positive
1669,Jenu'ina cehara,Positive
1670,Dama anuyayi  khuba stryapa nimna manera,Negative
1671,Druta delibhari ebam arijinala prodakta.,Positive
1672,Obhara ala santusta.,Positive
1673,drut ddelibhaari ebN bhaal maaner pnny / ,Positive
1674,Nimna manera strapa,Negative
1675,sbcch pnny o ddelibhaarii ,Positive
1676,bybhaarkaariir abhijnytaa sntossjnk,Positive
1677,shaaomi byaandder hleo aashaanurup naa ,Negative
1678,Halaka ojana ebam aramadayaka.,Positive
