,comments,sentiment
1068,ই দামে এরচেয়ে ভালো কিছু হয়না। ,Positive
1069,খুবই ভাল লেগেছে,Positive
1070,খুবই  ভালো পারসোনাল ইউজের জন্য।,Positive
1071,ভালই লাগছে দেখি আগে কি হয়,Positive
1072,খুব ভাল একটা জিনিস। ,Positive
1073,অফিসিয়াল শপ থেকে এটা আশা করা যায় না।,Negative
1074,প্রোডাক্ট ভালো.,Positive
1075,চার্জ অনেক কম থাকে,Negative
1076, ব্যাটারী ভালো না!,Negative
1077,চাজ দেয়ার কেবল নস্ট,Negative
1078,এই দামের মধ্যে বেষ্ট,Positive
1079,পন্য থেকে শুরু করে ডেলিভারী সিস্টেম সহ সবকিছুই ভালো,Positive
1080,জীবনেও কখনও ডারাজ থেকে কিছু কিনবোনা।,Negative
1081,ভাল ট্রিমার,Positive
1082,"সব কিছু ভালো, ",Positive
1083,ডেলিভারী সিস্টেম অনেক সন্তুষ্টি জনক,Positive
1084,ভাল না তেমন,Negative
1085,মোটামুটি চলে। ,Positive
1086,দ্রুত ডেলিভারি।,Positive
1087,"অনেক ভালো ব্যবহার করে ভালো লাগলো, ",Positive
1088,"সেইম কাল, কম প্রাইস। ",Positive
1089,এই কম টাকায় ভালোই প্রডাক্ট।,Positive
1090,খুবই ভালো ছিলো 😊,Positive
1091,ব্যবহার করে ভাল লেগেছে।,Positive
1092,প্রডাক্টের মান ভালো। ,Positive
1093," বিকাশে ক্যাশব্যাক পাওয়ার কথা, দেয়নি।",Negative
1094,চমৎকার একটি প্রোডাক্ট,Positive
1095,প্রোডাক্টটি ভাল ছিল। ,Positive
1096,"প্রতারক, ঠকবাজ ট্রিমিরের বক্সে মোবাইলের কাভার দিয়ে ৩৮০ টাকা নিয়ে গেল।",Negative
1097,"বাটপার দারাজ,",Negative
1098, যারা কিনি তাদের পরতে হয় ভোগান্তিতে।,Negative
1099,দামে কম,Positive
1100,"মিথ্যাবাদীর দল, ",Negative
1101,ভালোই ছিলো ॥ ,Positive
1102, চার্জ অনেক বেশি থাকে,Positive
1103,"প্রডাক্টস ভালো, ",Positive
1104,দ্রুত এবং সহজেই কাজ করতে পারি।,Positive
1105,ভাল পণ্য।,Positive
1106,কোয়ালিটি ভাল না।,Negative
1107,আরামদায়ক শেভ এর জন্য খুবই ভাল। ,Positive
1108,দাম অনুযায়ী ভালো ।,Positive
1109,১০০% সন্তুষ্ট। ,Positive
1110,চলার মতো। ,Positive
1111, বেটারি ব্যাক আপ একটু খারাপ।,Negative
1112,দাম ও সাশ্রয়ী।,Positive
1113,"ভালো, কোনো সমস্যা দেয় নাই।",Positive
1114,এই পর্যন্ত ভাল চলছে ,Positive
1115,৬ মাস ধরে ব্যবহার করছি এখনো ঠিক সার্ভিস দিচ্ছে।,Positive
1116,অল্প দামের মধ্যে বেস্ট। ,Positive
1117,অনেক ভাল লেগেছে ব্যবহার করে। ,Positive
1118,নষ্ট হয়ে গেছে,Negative
1119,ডেলিভারি দ্রুত ছিল।,Positive
1120,খুব ভা‌লো এক‌টি মে‌শিন।,Positive
1121,সার্ভিস ভালোই ,Positive
1122,দাম সঠিক ছিল ,Positive
1123,দাম হিসেবে অনেক ভাল।,Positive
1124,ওয়া‌রি‌ন্টি কার্ড পায়নি।,Negative
1125,তাই আমি সন্তুষ্ট ব্যবহার করে।,Positive
1126,তারপরও ভালো। ,Positive
1127," ফিটিং ভাল হয়েছে, ",Positive
1128,ছবির ঘড়ির সাথে আমার কাছে দারাজের পাঠানো ঘড়ির মিল নেই,Negative
1129,আমার খুবই ভাল লেগেছে।,Positive
1130,একদম মনের মতো জিনিস পেয়েছি,Positive
1131,প্রোডাক্ট এর কোয়ালিটি ভাল,Positive
1132,দারাজের ছবির সাথে ডেলিভারী করা প্রোডাক্টের মিল নাই।,Negative
1133, প্রাইস হিসেবে ভালো,Positive
1134, ছবির কালার এর সাথে মিল নেই।,Negative
1135,"স্ক্রাচ পড়েছে, প্লাস্টিকের হাতল কাভার ফেটে গেছে",Negative
1136,সবচেয়ে দুঃখজনক হলো যে প্রডাক্ট অর্ডার করছি সেটি পাইনি।,Negative
1137,একটি পাটস্ পাঠানো হয়নি।,Negative
1138,ভালই মনে হচ্ছে।,Positive
1139,সেলার কিছু ধোঁকাবাজির আশ্রয় নিয়েছে,Negative
1140,কাপড় এবং প্রিন্ট কোয়ালিটি ভালো,Positive
1141, অর্ডার পেলাম না এখনো :(,Positive
1142,দারাজ থেকে কিনে খুব হ্যাপি।,Positive
1143,একেবারে বাজে ছিল,Negative
1144,কি আজব!!,Negative
1145,দারাজ ইজ বেস্ট,Positive
1146,নতুন বাটপারির ধান্দা বের করেছে।,Negative
1147,ভাউচার এর জন্য সেরা দারাজ ।।,Positive
1148,আই লাভ দারাজ ।। ,Positive
1149,দারাজ এর প্রোডাক্ট কোয়ালিটি খুব ভালো কোয়ালিটি। ,Positive
1150,দারাজ এর রিফান্ড পলিসি খুব ভালো।। ,Positive
1151, এক টি শার্টের কথা বলে আরেকটা ডেলিভারী দিছে।,Negative
1152,ডারাজ ভুয়া ফেক,Negative
1153,আমি প্রতারিত হলাম,Negative
1154, এত অভিযোগ!!! ,Negative
1155,দারাজ তুমি আসলেই ভালো,Positive
1156,দারাজের চেয়ে জঘন্যতম কোন সার্ভিস আমি আমার জীবনে দেখি নাই।,Negative
1157,এক কথায় জঘন্যতম।,Negative
1158,দারাজ বাটপারদের থেকে কেউ কিনবেন না প্লিজ।,Negative
1159,বাটপারি দেখায় একটা দিল আরেকটা,Negative
1160,ওরা চিটার 😡,Negative
1161,দারাজ ভুয়া,Negative
1162,দারাজ ১১.১১ এর নামে ধান্দাবাজি করছে।,Negative
1163,সব দুই নাম্বারি ১০০ টাকার জিনিস ৫০০ টাকা ,Negative
1164,লাইভে সবাই রিপোর্ট মারো দারাজ বাটপার,Negative
1165,বাটপার দারাজ,Negative
1166,রিজেক্ট প্রডাক্ট ডেলিভারী দেয়,Negative
1167,ফালতু দারাজ,Negative
1168,হাইস্যকর এগুলা হাইস্যকর,Negative
1169,অনেক সুন্দর,Positive
1170,চোর বাটপার,Negative
1171,বাটপার কোম্পানি ।।,Negative
1172,রাবিশ কোম্পানি,Negative
1173,প্রতারনার অন্য নাম দারাজ,Negative
1174,কেউ দারাজের ফাদে পা দিবেন না,Negative
1175,চমৎকার পণ্য।,Positive
1176,সবাই তোমার উপরে নারাজ 👎👎👎,Negative
1177,ভাইরে এ ধান্দাবাজি ব্যবসা বাদ দাও,Negative
1178,পুরাই ফালতু!!!,Negative
1179,ভুয়া কোম্পানি,Negative
1180,চিটারির একটা সীমা থাকে,Negative
1181,মামলা হবে শুধু মামলা,Negative
1182,দারাজে সব কিছুর দাম অনেক অনেক বেশি,Negative
1183,যতসব বাটপারি,Negative
1184,দারাজ ধ্বংস করে দিল ই-কমার্স ব্যবসা,Negative
1185,দারাজের সব দিক ভাল,Positive
1186,"দারাজ থেকে প্রথম কিছু কিনলাম, আমেজিং....",Positive
1187,পন্য অর্ডার ডেলিভারি খুব ভাল ,Positive
1188,দারাজ অল দ্যা বেষ্ট,Positive
1189,এগিয়ে যাক দারাজ,Positive
1190,দারাজ বেস্ট মার্কেট প্ল্যাটফর্ম অফ বাংলাদেশ,Positive
1191,"আমরা হতাশ,",Negative
1192,আচ্ছা তদের নাম দারাজ না হয়ে ধান্দাবাজ হলো না কেন,Negative
1193,এরা প্রতারক।,Negative
1194,ফালতু অফার,Negative
1195,দারাজকে বর্জন করুর সবাই।,Negative
1196,ভুয়া কথাবার্তা,Negative
1197,সব ভন্ডামি,Negative
1198,১১ টাকায় প্রোডাক্ট টা ভুয়া,Negative
1199, দারাজের মত অনলাইন শপ আমরা চাই না বাংলাদেশে,Negative
1200,ভন্ড দারাজ,Negative
1201, ধন্যবাদ দিতে বাধ্য হলাম ,Positive
1202, খবরদার ফাঁসবেন না,Negative
1203,দারাজের এটা কি রকম ধান্দাবাজি!,Negative
1204,ড্রেসটা কিন্তু সুন্দর,Positive
1205,সবচেয়ে  খারাপ অনলাইন,Negative
1206,এখন দারাজের শিপিং ( ডেলিভারি) চার্জ বেশি।,Negative
1207,এছাড়াও পণ্য মানের খুব খারাপ।,Negative
1208,এটা কেবল জালিয়াতি,Negative
1209,এটা কিনে খুশি …,Positive
1210,"মূল্যের জন্য, এটা ঠিক আছে।",Positive
1211, দ্রুত ডেলিভারি,Positive
1212,এটা ভালো ছিল,Positive
1213,ভাল পণ্য ... .,Positive
1214,বিক্রেতা আমাকে ক্ষতিগ্রস্ত পণ্য পাঠান। ,Negative
1215,হ্যাঁ খুশি ভাল অবস্থা ,Positive
1216,জাল পণ্য।,Negative
1217,চমৎকার কাজ করে.,Positive
1218,এটা খুবই সুন্দর. অসাধারণ শব্দ। ,Negative
1219,এটা আমাদের জন্য ভাল না,Negative
1220,খুশি বেশী 😊,Positive
1221,এটি সত্যিই একটি খুব ভাল হেডসেট।,Positive
1222,ভাল মানের শব্দ ,Positive
1223,শব্দ  খুব খারাপ মানের,Negative
1224,সম্পূর্ণরূপে সন্তুষ্ট,Positive
1225,আমি সত্যিই হতাশ,Negative
1226,শুধু সন্ত্রস্ত মানের ইয়ারফোন,Positive
1227, শব্দ মানের খুব অনন্য।,Positive
1228,পণ্য এর মান ভাল না,Negative
1229, দ্রুত ডেলিভারির জন্য আপনাকে ধন্যবাদ।,Positive
1230,সাউন্ড এর মান ভাল।,Positive
1231,"এটি একটি চমৎকার পণ্য,",Positive
1232,হ্যাঁ আমি এটা পছন্দ করি.,Positive
1233,পণ্য ভাল অবস্থায় প্রাপ্ত হয়েছিল।,Positive
1234,জেনুইন পণ্য জন্য আপনাকে ধন্যবাদ।,Positive
1235,সন্তুষ্ট না।,Negative
1236,সত্যিই ভাল শব্দ,Positive
1237,এটি একটি ভাল মানের পণ্য তবে দ্রুত ডেলিভারির প্রয়োজন।,Positive
1238, খুবই হতাশাজনক,Negative
1239,ভাল চেহারা এবং শব্দ এর মান ভাল।,Positive
1240,সামগ্রিক এটা ঠিক আছে ....,Positive
1241,খারাপ গুনমাণ,Negative
1242,এই পণ্য সম্পর্কে কোন সমস্যা নেই।,Positive
1243,চমৎকার হেডফোন,Positive
1244,ভালো সেবা,Positive
1245,এটি একটি চমৎকার মানের হেডফোন। ,Positive
1246,শব্দ এর মান খুব দরিদ্র।,Negative
1247,পণ্য এবং শব্দ এর মান খুব খারাপ।,Negative
1248,পণ্য মানের ভাল ছিল। ,Negative
1249,এটি একটি আশ্চর্যজনক হেডফোন ছিল।,Positive
1250,ব্যাস  এর মান খুব খারাপ।,Negative
1251,ভাল কাজ করে.,Positive
1252,আমি আপনার কাছ থেকে নিষ্ক্রিয় পণ্য পেয়েছি যা খুব অপ্রত্যাশিত,Negative
1253,শব্দ এর মান ভাল না,Negative
1254,টেকসই হেডফোন।,Positive
1255,সবচেয়ে খারাপ শব্দ এর মান!,Negative
1256,খুব স্পষ্ট শব্দ ,Positive
1257,হেডফোন সম্পর্কে খুশি।,Positive
1258, সাউন্ডের গুণমান ভাল।,Positive
1259,সাউন্ড কোয়ালিটি ভাল নয়.. ,Negative
1260,চমৎকার শব্দ এর মান,Positive
1261,মিথ্যাবাদী বিক্রেতা,Positive
1262, অনেক উপভোগ করছি। ,Positive
1263,এই হেডফোনটির গুণটি সত্যিই ভাল।,Positive
1264,"ভাল এবং মূল পণ্য, ",Positive
1265,আমাকে বলেছিল এটা আসল কিন্তু আমাকে একটি কপি পণ্য দিয়েছে। ,Negative
1266,শব্দ এর মান ভাল  ,Positive
1267,খুব দীর্ঘ টেকসই ইয়ারফোন।,Positive
1268,চমৎকার পণ্য।,Positive
1269,সেরা একটি ..,Positive
1270,সেরা হেডফোন,Positive
1271,তার শব্দ এর মান ভাল।,Positive
1272,শব্দ এর মান এই মূল্যের জন্য যথেষ্ট ভাল।,Positive
1273,এই মূল্য পয়েন্ট থেকে শ্রেষ্ঠ।,Positive
1274,সবকিছু ভাল ছিল,Positive
1275,সম্পূর্ণরূপে সন্তুষ্ট ....,Positive
1276,খুব ভাল পণ্য এবং ভাল সেবা,Positive
1277, আমার জন্য ভাল অভিজ্ঞতা ছিল,Positive
1278,সবকিছু ঠিক আছে,Positive
1279,খুব সুন্দর কনফিগারেশন,Positive
1280,এখন পর্যন্ত কোন সমস্যা নেই।,Positive
1281,পণ্যটি ত্রুটিপূর্ণ  ,Negative
1282,এই বাজেটে সেরা ফোন।,Positive
1283,খুব ভাল ফোন।,Positive
1284,সস্তা দামে ভাল মোবাইল,Positive
1285,সস্তা দাম সঙ্গে চমৎকার পণ্য।,Positive
1286,আপনার টাকা নষ্ট করবেন না ,Negative
1287,পণ্য এর মান ভাল ছিল।,Positive
1288," ওজনে হালকা, সর্বোপরি ভাল",Positive
1289,পণ্য এর মান উচ্চতর,Positive
1290,"সবচেয়ে খারাপ ফোন, ",Negative
1291,"দেখতে যথেষ্ট সুন্দর,",Positive
1292, আমি মনে করি আমি আমার টাকা অপচয়,Negative
1293,এটি একটি আশ্চর্যজনক পণ্য .,Positive
1294,আমি এটা ভালোবাসি!,Positive
1295,নিম্ন মানের পণ্য।,Negative
1296,এটি সত্যিই খুব অস্বাভাবিক। ,Negative
1297,আমাকে হতাশ করেনি,Positive
1298,আমি ভাল দাম মধ্যে আসল পণ্য পেয়েছিলাম।,Positive
1299,এটা সত্যই খুব ভালো!!! ,Positive
1300,খুব ভাল .. ,Positive
1301,আমি পণ্য সম্পর্কে খুব হতাশ। ,Negative
1302,শব্দ গুণ খুব খারাপ ,Negative
1303,এই বাজেটে ভাল।,Positive
1304,সন্দেহ ছাড়াই সেরা ব্লুটুথ পোর্টেবল স্পিকার,Positive
1305,এটি আপনার কাছ থেকে সম্পূর্ণরূপে অগ্রহণযোগ্য।,Negative
1306,হতাশ এবং ঘৃণ্য।,Negative
1307,সবকিছু ঠিক আছে,Positive
1308,ভয়ানক মানের।,Negative
1309,এই মূল্য পরিসরে একটি ভাল মানের স্পিকার।,Positive
1310,ভাল মানের এবং দ্রুত ডেলিভারি।,Positive
1311,এই পণ্য বেশ ভাল,Positive
1312,চমৎকার পণ্য।,Positive
1313,ভুয়া চিৎকার শুনতেও বেশী সময় লাগবেনা,Negative
1314, জেনুইন পণ্য পেতে সেরা জায়গা।,Positive
1315,Pickaboo খাঁটি ,Positive
1316,চমৎকার সেবা,Positive
1317,শুধু এটা প্রেমময়।,Positive
1318,একটি সন্ত্রস্ত 7mp সামনে ক্যামেরা,Positive
1319,"এলিট, স্টাইলিশ, ",Positive
1320,সুরক্ষিত এবং চমত্কার!,Positive
1321,এটি একটি ভাল ফোন।,Positive
1322,আমি সন্তুষ্ট এবং খুব দ্রুত ডেলিভারি।,Positive
1323,আমি Pickaboo সেবা এবং পণ্যের জন্য সন্তুষ্ট।,Positive
1324,পারফরমেন্স বেশ ভাল,Positive
1325,"রঙ, গতি, ক্যামেরা সবকিছু সন্ত্রস্ত।",Positive
1326,গ্রেট ডিজাইন।,Positive
1327,কোন  সমস্যা নেই।,Positive
1328,আমি এটা খুব ভালভাবে ব্যাবহার করছি। ,Positive
1329,সেরা সেল ফোন,Positive
1330,খুব ভাল সেবা,Positive
1331,এই ফোন ব্যতিক্রমী কর্মক্ষমতা ক্ষমতা আছে।,Positive
1332,"সর্বোত্তম মূল্য, ",Positive
1333,আমি এই ফোন পছন্দ করতেছি। ,Positive
1334,প্রতিদিন ব্যবহারের জন্য সামগ্রিকভাবে ভাল ফোন।,Positive
1335,"ভালো মানের, ভাল ক্যামেরা, ",Positive
1336,চমৎকার কর্মক্ষমতা। ,Positive
1337,সবকিছু ফাইন ,Positive
1338,দাম খুব বেশী কনফিগারেশনের তুলনায় ,Negative
1339,অত্যন্ত বাঞ্ছনীয়. সামগ্রিকভাবে এটি একটি দারুন  ফোন।,Positive
1340,আমি তার কর্মক্ষমতা সঙ্গে সন্তুষ্ট।,Positive
1341,দক্ষ ব্যাটারি ব্যাকআপ,Positive
1342,"ফোন ধীর, ক্যামেরা চিহ্নিত করা হয় না",Negative
1343,আমি এটা পছন্দ করি না।,Negative
1344,কনফিগারেশন অনুযায়ী দামটা একটু বেশি।,Negative
1345,ভয়েস  আশ্চর্যজনক ও  স্পষ্ট,Positive
1346,নকিয়া সর্বদা ভাল মানের ফোন তৈরি করছে,Positive
1347,এটি দৈনন্দিন ব্যবহারের জন্য একটি ভাল ফোন,Positive
1348,ক্যামেরা  সন্তোষজনক  মানের নয়,Negative
1349,ভাল পণ্য এবং দ্রুত ডেলিভারি।,Positive
1350,খুব টেকসই ,Positive
1351,ব্যাটারি ব্যাকআপও  আশ্চর্যজনক।,Positive
1352,এটা দিয়ে খুশি।,Positive
1353,"নোকিয়া নোকিয়া, শীর্ষ বর্গ বিল্ড মানের।",Positive
1354,এটি এখন বাজারে পাওয়া সেরা বাজেট ফোন।,Positive
1355,GR5 এবং pickaboo উভয় চমৎকার।,Positive
1356, চমৎকার কর্মক্ষমতা,Positive
1357,অসামান্য ক্যামেরা ,Positive
1358,"ফোন খুব ভাল মানের, এবং মসৃণ । ",Positive
1359,যুক্তিসঙ্গত মূল্য ,Positive
1360,এটার  অসাধারণ দৃষ্টিভঙ্গি,Positive
1361,আপনাদের সাফল্য কামনা করছি,Positive
1362,ভাল ক্যামেরা এবং একটি বিশাল ব্যাটারি !!,Positive
1363,এই ফোন খুব বিস্ময়কর সেবা দেয়। ,Positive
1364,এটি একটি খুব সুন্দর ফোন ছিল।,Positive
1365,"মসৃণ গেমিং, ",Positive
1366,এটি সেরা স্মার্টফোনের একটি ...,Positive
1367,অপ্রতিরোধ্য যা সবচেয়ে ভাল প্রস্তাব,Positive
1368,"এটি একটি লঘু ফোন, খুব ধীরে চলে। ",Negative
1369,ভারী গেম মসৃণভাবে চলে না। ,Negative
1370,আমি দ্বিধা ছাড়াই এই ফোন কিনতে সুপারিশ করতে চাই,Positive
1371,গেমিং খুব মসৃণ,Positive
1372,"হেভি গেমিং এর জন্য বেস্ট, ক্যামেরাও অনেক ভালো",Positive
1373,এখন শহরের  সেরা ফোন।,Positive
1374,আমি তার কর্মক্ষমতা এবং মানের দ্বারা বিস্মিত ছিলাম।,Positive
1375,তাদের চমৎকার ও সক্রিয় সেবার  জন্য Pickaboo সঙ্গে খুব সন্তুষ্ট,Positive
1376,কঠিন বিল্ড মানের সঙ্গে চমৎকার ট্যাবলেট।,Positive
1377,সাউন্ড কোয়ালিটি ভাল!,Positive
1378,অনেক ভাল কর্মক্ষমতা,Positive
1379,এই পণ্য নিয়ে খুব খুব সন্তুষ্ট,Positive
1380,গুণমান ভাল এবং পুরোপুরি উপযুক্ত।,Positive
1381, আমি অসন্তুষ্ট,Negative
1382,"ভাল না, টাকা সম্পূর্ণ অপচয় । ",Negative
1383,পণ্য খুব টেকসই।,Positive
1384, ভাল না।  ,Negative
1385,এই পণ্য খুব নিম্ন  মানের ছিল।,Negative
1386,সম্পূর্ণরূপে অর্থ অপচয়।,Negative
1387,ফিনিসিং  অবিশ্বাস্য।,Positive
1388,এই জিনিস আপনার মাইল ব্যান্ড 3 গ্লাস উপযুক্ত হবে না।,Negative
1389,  এই পণ্য ভাল না।,Negative
1390,Anker সর্বদা একটি গ্রেট  ব্র্যান্ড। ,Positive
1391,এটা খুব সুন্দর দেখাচ্ছে এবং ,Positive
1392,চার্জার সত্যিই চমৎকার এবং ভাল।,Positive
1393,আমি এই চার্জারটি ক্রয় করে মোটেও সন্তুষ্ট নই।,Negative
1394,চমৎকার প্যাকেজিং।,Positive
1395,একটি যুক্তিসঙ্গত মূল্যে এই মূল চার্জার অফার জন্য ধন্যবাদ pickaboo।,Positive
1396,স্বাভাবিক হিসাবে হতাশ না,Positive
1397,আমার প্রত্যাশার থেকে বেশী। ,Positive
1398,এই পাওয়ার ব্যাংক ব্র্যান্ড বাজারে অন্য কোনও পাওয়ার ব্যাংকের তুলনায় ভাল,Positive
1399,ভাল পণ্য. প্রিমিয়াম মানের। ,Positive
1400,মিথ্যা তথ্য প্রদান করে পণ্য বিক্রি করেছে।,Negative
1401,দ্রুত এবং নিরাপদ,Positive
1402,আকারের তুলনায় পাওয়ার ব্যাংক কর্মক্ষমতা বেশ ভাল,Positive
1403, ভালো পণ্য.,Positive
1404,যুক্তিসঙ্গত মূল্য সঙ্গে একটি চমৎকার ,Positive
1405,"ব্যবহার করা সহজ, ",Positive
1406,একটি গ্রেট  সেবা সঙ্গে খুব টেকসই এবং আড়ম্বরপূর্ণ নকশা।,Positive
1407,ডিজাইন খুব পাতলা এবং আড়ম্বরপূর্ণ।,Positive
1408,আমি কখনও দেখা বাজেট মধ্যে সেরা পাওয়ার  ব্যাংক,Positive
1409,এই পাওয়ার ব্যাংক অবিশ্বাস্যভাবে নির্ভরযোগ্য ,Positive
1410,pickaboo মধ্যে পণ্য মানের সম্পর্কে কোন সন্দেহ নেই,Positive
1411,সত্যিই পণ্য এবং ছাড় দাম সঙ্গে খুশি।,Positive
1412,আমাদের বিশেষ সুবিধা সঙ্গে ব্যতিক্রমী পণ্য দেবার জন্য pickaboo ধন্যবাদ,Positive
1413, আপনি এটা অনুশোচনা করবে না।,Positive
1414,পিকাবু বাংলাদেশের সবচেয়ে ভাল অনলাইন দোকান মনে হয়।,Positive
1415,"শীর্ষ মানের, বিশ্বাসযোগ্য সাইট Pickaboo",Positive
1416,কোন ত্রুটি খুঁজে পাওয়া যায় নি।,Positive
1417,Pickaboo উপর বিশ্বাস রাখুন ,Positive
1418,কর্মক্ষমতা খুব ভাল,Positive
1419,এই পণ্য ভাল। ,Positive
1420,আমি সত্যিই এটা পছন্দ করি!!!,Positive
1421, এটা হতাশা জনক,Negative
1422,ব্র্যান্ড নতুন। ,Positive
1423, ভাল মূল্যে ভাল পণ্য পাওয়া যায়।,Positive
1424,মান এবং চেহারা আকর্ষণীয়।,Positive
1425,যেমন একটি সুদৃশ্য পণ্য। :-) ,Positive
1426,ভাল আকার এবং আকার। ,Positive
1427,আমাকে জেনুইন আইটেম সরবরাহ করার জন্য Pickaboo ধন্যবাদ।,Positive
1428,ব্যাটারির  জন্য ক্ষতিকর নয়।,Positive
1429,এমআই পাওয়ার ব্যাংক সেরা,Positive
1430,Pickaboo থেকে সত্যিই ভাল সেবা  পাওয়া যায়।,Positive
1431,আমি খুব সন্তুষ্ট এবং পরবর্তী সময়ে আরো জিনিস অর্ডার করব।,Positive
1432,অক্ষত এবং সম্পূর্ণরূপে সন্তুষ্ট।,Positive
1433,কম খরচে. ভাল পণ্য,Positive
1434,এটা খুব দরকারী। ,Positive
1435,জোস জিনিশ । ,Positive
1436,ভাল মানের। আমি সন্তুষ্ট.,Positive
1437, এটা খুবই সমস্যাকর।,Negative
1438,বর্ণনা হিসাবে পণ্য ঠিক আছে। ,Positive
1439,"চমৎকার পণ্য মানের, ভাল সেবা",Positive
1440,এটা আমাদের জন্য ভাল না তাই এই দোকান কিনতে না,Negative
1441,খুশি বেশী 😊,Positive
1442,এটি সত্যিই একটি খুব ভাল হেডসেট।,Positive
1443, ভাল মানের শব্দ ,Positive
1444,শব্দ মানের খুব খারাপ,Negative
1445,সম্পূর্ণরূপে সন্তুষ্ট,Positive
1446, আমি সত্যিই হতাশ,Negative
1447, শব্দ মানের খুব অনন্য।,Positive
1448,শুধু সন্ত্রস্ত মানের ইয়ারফোন,Positive
1449,দ্রুত ডেলিভারির জন্য আপনাকে ধন্যবাদ।,Positive
1450,পণ্য এর মান ভাল না,Negative
1451,সাউন্ড এর মান ভাল।,Positive
1452,"এটি একটি চমৎকার পণ্য,",Positive
1453,হ্যাঁ আমি এটা পছন্দ করি.,Positive
1454,পণ্য ভাল অবস্থায় প্রাপ্ত হয়েছিল। ,Positive
1455,জেনুইন পণ্য জন্য আপনাকে ধন্যবাদ।,Positive
1456,সন্তুষ্ট না।,Negative
1457,সত্যিই ভাল শব্দ,Positive
1458,এটি একটি ভাল মানের পণ্য তবে দ্রুত ডেলিভারির প্রয়োজন।,Positive
1459,খুবই হতাশাজনক,Negative
1460,এই পণ্য সম্পর্কে কোন সমস্যা নেই।,Positive
1461,ভাল চেহারা এবং শব্দ এর মান ভাল।,Positive
1462,সামগ্রিক এটা ঠিক আছে ....,Positive
1463,খারাপ গুনমাণ,Negative
1464,চমৎকার হেডফোন,Positive
1465,ভালো সেবা,Positive
1466,এটি একটি চমৎকার মানের হেডফোন। ,Positive
1467,শব্দ এর মান খুব দরিদ্র।,Negative
1468,পণ্য এবং শব্দ এর মান খুব খারাপ।,Negative
1469,পণ্য মানের ভাল ছিল। ,Negative
1470,এটি একটি আশ্চর্যজনক হেডফোন ছিল।,Positive
1471,ভাল কাজ করে.,Positive
1472,আমি আপনার কাছ থেকে নিষ্ক্রিয় পণ্য পেয়েছি যা খুব অপ্রত্যাশিত,Negative
1473,শব্দ এর মান ভাল না,Negative
1474,সবচেয়ে খারাপ শব্দ এর মান!,Negative
1475,হেডফোন সম্পর্কে খুশি।,Positive
1476,সাউন্ড কোয়ালিটি ভাল নয়,Negative
1477,খুব স্পষ্ট শব্দ এবং টেকসই হেডফোন।,Positive
1478,এই হেডফোনটির গুণটি সত্যিই ভাল। ,Positive
1479,"ভাল এবং মূল পণ্য,",Positive
1480,মিথ্যাবাদী বিক্রেতা,Negative
1481, খুব দীর্ঘ টেকসই ইয়ারফোন।,Positive
1482,শব্দ এর মান ভাল ছিল।,Positive
1483,চমৎকার পণ্য।,Positive
1484,সেরা একটি ..,Positive
1485,সেরা হেডফোন,Positive
1486,তার শব্দ এর মান ভাল।,Positive
1487,শব্দ এর মান এই মূল্যের জন্য যথেষ্ট ভাল।,Positive
1488,এই মূল্য পয়েন্ট থেকে শ্রেষ্ঠ।,Positive
1489,সবকিছু ভাল ছিল,Positive
1490,সম্পূর্ণরূপে সন্তুষ্ট ....,Positive
1491,খুব ভাল পণ্য এবং ভাল সেবা,Positive
1492, এটা আমার জন্য ভাল অভিজ্ঞতা ছিল,Positive
1493,সবকিছু ঠিক আছে,Positive
1494,খুব সুন্দর কনফিগারেশন,Positive
1495,এখন পর্যন্ত কোন সমস্যা নেই।,Positive
1496,পণ্যটি ত্রুটিপূর্ণ  ,Negative
1497,এই বাজেটে সেরা ফোন।,Positive
1498,খুব ভাল ফোন।,Positive
1499,সস্তা দামে ভাল মোবাইল,Positive
1500,সস্তা দাম সঙ্গে চমৎকার পণ্য।,Positive
1501,পণ্য এর মান ভাল ছিল।,Positive
1502,পণ্য এর মান উচ্চতর,Positive
1503,আপনার টাকা নষ্ট করবেন না ,Negative
1504,"দেখতে যথেষ্ট সুন্দর, ",Positive
1505,এটি একটি আশ্চর্যজনক পণ্য .,Positive
1506,নিম্ন মানের পণ্য।,Negative
1507,এটি সত্যিই খুব অস্বাভাবিক। ,Negative
1508,আমি ভাল দাম মধ্যে আসল পণ্য পেয়েছিলাম।,Positive
1509,আমি এটা ভালোবাসি!,Positive
1510,আমাকে হতাশ করেনি,Positive
1511,আমি পণ্য সম্পর্কে খুব হতাশ। ,Negative
1512, আমি মনে করি আমি আমার টাকা অপচয়,Negative
1513,এই বাজেটে ভাল।,Positive
1514,সন্দেহ ছাড়াই সেরা ব্লুটুথ পোর্টেবল স্পিকার,Positive
1515,এটি আপনার কাছ থেকে সম্পূর্ণরূপে অগ্রহণযোগ্য।,Negative
1516,হতাশ এবং ঘৃণ্য।,Negative
1517,সবকিছু ঠিক আছে,Positive
1518,ভয়ানক মানের।,Negative
1519,এই মূল্য পরিসরে একটি ভাল মানের স্পিকার।,Positive
1520,ভাল মানের এবং দ্রুত ডেলিভারি।,Positive
1521,এই পণ্য বেশ ভাল,Positive
1522,চমৎকার পণ্য।,Positive
1523,এই পণ্যের গুণমান খুব ভাল।,Positive
1524,ইয়ারফোন চমৎকার।,Positive
